Attempts,zoom_zip_total_power,zoom_message_total_power,zoom_image_total_power,zoom_pdf_total_power,zoom_camera_on_total_power,zoom_camera_off_total_power,skype_image_total_power,skype_pdf_total_power,skype_zip_total_power,skype_message_total_power,skype_camera_on_total_power,skype_camera_off_total_power,rocket_image_total_power,rocket_message_total_power,rocket_zip_total_power,rocket_camera_on_total_power,rocket_camera_off_total_power,rocket_pdf_total_power,element_zip_total_power,element_message_total_power,element_pdf_total_power,element_image_total_power,element_camera_off_total_power,element_camera_on_total_power
1,1912.046,912.526478,1776.629,1757.706,2719.454,2388.405,1832.209,1787.192,1860.133,908.05,2877.5194,1841.00168,1708.799,695.778,1811.064,7040.91174,6760.7961,1707.665,2478.426,791.72,1751.139,1427.536,4353.552,5825.594
2,1913.264,1012.781245,1723.585,1743.9,2401.572,2294.174,1720.551,1507.914,1861.919,789.156,2187.48876,2164.38246,1762.151,910.101,1912.214,7652.4042,6819.36186,1366.616,2407.196,959.478,1686.136,1606.815,5011.52,3990.863
3,1895.778,901.6971327,1818.83,1608.797,2404.001,2164.535,1770.303,1598.115,1851.467,910.082,3112.34434,2624.24046,1544.424,676.382,1940.906,7268.54682,7578.99558,1458.789,2272.947,780.655,1657.074,1837.931,5284.985,5710.198
4,1782.738,980.1827414,1850.437,1721.403,2470.731,2184.665,1498.562,1820.213,2003.826,700.834,2994.72856,2430.1446,1738.566,911.793,1727.323,7541.0718,7577.19096,1533.121,2352.754,960.531,1814.595,1871.907,4056.523,5706.63
5,1944.079,889.4610286,1663.805,1815.711,2517.204,2180.861,1542.155,1865.614,2010.111,913.653,2887.2167,2334.96316,1725.631,729.541,1903.859,7538.37228,6040.63044,1587.583,2390.017,691.803,1843.631,1924.083,4293.184,5185.353
6,1910.247,979.9583764,1453.553,1847.661,2550.632,2197.88,1695.035,1754.188,1366.071,706.303,2662.3157,1880.70104,1822.144,909.565,1672.153,6932.42166,6662.87508,1743.345,2423.419,956.701,1687.789,1754.066,5647.979,5703.114
7,1901.416,968.2296649,1454.56,1746.888,2527.171,2157.608,1850.105,1809.763,1934.722,908.404,2914.22558,2556.67634,1715.735,811.809,1915.111,6802.70838,4404.44808,1827.898,2557.065,821.566,1742.406,1855.475,5211.285,6532.527
8,1600.178,1026.140319,1508.626,1429.839,2511.594,2161.657,1738.938,1636.737,1448.585,817.222,2851.85034,2672.41678,1368.204,914.407,1907.08,6425.16162,6285.2268,1275.631,2415.612,962.176,1830.194,1574.484,5184.629,5257.779
9,1919.69,955.523117,1778.938,1485.477,2499.619,2169.48,1764.187,1706.358,1817.205,924.931,3052.89906,2199.91084,1757.034,803.963,1897.482,6468.64302,6238.70064,1362.923,2356.072,779.528,1636.69,1757.611,5911.215,5730.878
10,1895.973,1008.948367,1755.419,1559.615,2490.222,2176.231,1553.073,1864.463,1859.179,782.179,2809.42036,2458.96466,1529.204,910.948,1915.585,6975.93822,5482.73922,1767.752,2454.036,955.546,1874.992,1833.382,5800.596,5309.892
11,1903.318,927.2115553,1799.439,1757.983,2490.222,2349.244,1721.703,1765.12,1650.397,913.951,2462.01798,2295.16612,1734.835,734.174,1900.391,6617.50836,5551.6125,1746.313,1984.675,785.974,1648.216,1832.75,4133.714,5204.84
12,1844.372,1024.094746,1747.633,1759.747,2490.222,2194.245,1838.891,1776.501,1914.638,826.93,2202.60296,2502.413,1734.859,908.295,1897.686,6943.8438,5522.17962,1557.924,1954.225,953.21,1546.463,1920.937,5257.697,5690.099
13,1934.152,953.974272,1843.895,1835.321,2490.222,2323.339,1723.841,1793.731,1763.502,928.572,2207.6095,1759.57596,1829.472,799.29,1898.052,6322.3131,5918.48724,1691.921,2097.376,776.494,1832.637,1758.247,5189.872,5764.531
14,1991.979,1032.50483,1779.986,1417.87,2507.303,2402.483,1815.193,1752.162,1848.857,847.032,3067.6012,2565.7836,1271.765,906.38,1810.059,5991.04626,5556.34758,1725.762,2303.076,957.101,1762.486,1799.125,5263.202,5471.437
15,1906.14,965.7951671,1536.201,1767.375,2555.079,2352.908,1435.188,1801.932,1929.907,922.355,2986.52996,2456.22298,1720.632,800.378,1885.279,5805.18438,5556.11424,1832.34,2289.642,812.655,1917.13,1565.789,5299.803,5714.417
16,1516.091,981.0226836,1614.551,1607.895,2579.211,2299.668,1754.468,1850.593,1953.478,714.548,2940.44408,2059.49526,1771.081,908.328,1895.743,6590.31546,5896.62942,1290.042,2246.287,952.487,2050.062,1604.132,5793.012,5231.457
17,1904.643,961.4533727,1760.511,1770.753,2602.449,2327.429,1626.037,1717.226,1823.831,923.792,2902.44318,2281.9513,1491.228,796.082,1809.612,6573.73044,5854.31844,1727.166,2189.834,804.116,1992.986,1798.175,5836.485,5303.276
18,1922.565,1039.416732,1792.776,1784.158,2572.042,2281.703,1775.787,1817.549,1931.845,863.174,2251.84656,1766.6947,1698.98,914.386,1839.603,7073.96898,5569.4295,1462.314,2165.396,951.098,2094.438,1918.005,5255.802,5473.944
19,1904.295,958.0014215,1733.316,1811.226,2570.793,2280.861,1838.963,1796.91,1918.313,911.73,3140.92874,2571.3821,1738.263,802.3,1864.731,6293.97648,5950.9398,1538.532,2142.431,800.898,2088.203,1754.685,5227.405,5709.241
20,1906.668,1044.654464,1845.114,1361.179,2573.718,2280.336,1719.246,1529.095,1932.052,882.464,2672.82468,2468.70006,1818.876,905.515,1847.357,6538.57614,5919.0876,1684.753,2124.688,954.429,2164.605,1421.143,5838.389,5696.31
