"application","usage_scenario6","average_usage"
"element","camera_off",5192.54245
"element","camera_on",5510.619
"element","image",1740.8139
"element","message",870.4083
"element","pdf",1831.0936
"element","zip",2280.2587
"rocket","camera_off",4038.20369
"rocket","camera_on",4513.221438
"rocket","image",1674.09415
"rocket","message",837.47075
"rocket","pdf",1594.4195
"rocket","zip",1862.5645
"skype","camera_off",4485.683
"skype","camera_on",5036.4437
"skype","image",1710.72175
"skype","message",854.7681
"skype","pdf",1747.5688
"skype","zip",1834.0019
"zoom","camera_off",2258.3856
"zoom","camera_on",2526.17305
"zoom","image",1711.8902
"zoom","message",1117.70955
"zoom","pdf",1679.5252
"zoom","zip",1870.4816
